City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
608,Hamilton,US,39.1834,-84.5333,53.89,81,20,5.75,few clouds
609,Ketovo,RU,55.355,65.3258,58.93,36,0,8.66,clear sky
610,Port Augusta,AU,-32.5,137.7667,67.14,34,0,1.41,clear sky
611,Shieli,KZ,44.1667,66.75,83.25,27,31,10.18,scattered clouds
612,Port Moresby,PG,-9.4431,147.1797,84.29,73,85,5.5,overcast clouds
613,Raga,SS,8.4596,25.678,75.02,73,100,3.94,overcast clouds
614,Ostrovnoy,RU,68.0531,39.5131,33.6,79,98,15.3,overcast clouds
615,Honningsvag,NO,70.9821,25.9704,31.75,64,75,20.71,broken clouds
616,Zhanakorgan,KZ,43.9098,67.2495,88.39,20,29,9.6,scattered clouds
617,Sumbe,AO,-11.2061,13.8437,74.26,85,46,1.97,scattered clouds
618,Mattru,SL,7.6244,-11.8332,72.39,97,100,1.83,light rain
619,Cabedelo,BR,-6.9811,-34.8339,74.07,86,99,8.81,overcast clouds
620,Hendersonville,US,36.3048,-86.62,58.28,84,73,1.01,broken clouds
621,Bougouni,ML,11.417,-7.479,86.92,34,81,4.25,broken clouds
622,Sioux Lookout,CA,50.1001,-91.917,51.87,43,75,11.5,broken clouds
623,Kavaratti,IN,10.5669,72.642,84.78,68,71,11.65,broken clouds
624,Deloraine,AU,-41.5333,146.6667,61.9,70,17,1.01,few clouds
625,Kyren,RU,51.6828,102.1408,55.18,53,99,11.88,overcast clouds
626,Pitkyaranta,RU,61.5734,31.4792,39.88,81,100,8.37,overcast clouds
627,Cooma,AU,-36.2333,149.1333,53.38,59,82,5.82,broken clouds
628,Erzin,TR,36.9559,36.2,61.57,64,0,3.53,clear sky
629,Bonfim,BR,3.0833,-59.95,75.0,88,59,1.19,broken clouds
630,Ucluelet,CA,48.9329,-125.5528,45.09,81,92,1.01,overcast clouds
631,Selma,US,36.5708,-119.6121,66.25,52,25,18.66,scattered clouds
632,Minyar,RU,55.0709,57.5485,55.99,39,10,1.95,clear sky
633,Roald,NO,62.5833,6.1333,42.75,70,100,5.75,overcast clouds
634,Murgab,TM,37.4966,61.9714,80.47,47,0,13.8,clear sky
635,Tiarei,PF,-17.5333,-149.3333,80.62,75,29,2.1,scattered clouds
636,Alekseyevka,RU,50.6309,38.6903,51.6,51,54,3.78,broken clouds
637,Bilma,NE,18.6853,12.9164,86.29,14,100,13.71,overcast clouds
638,Sosnovo-Ozerskoye,RU,52.5249,111.5418,68.72,22,1,18.25,clear sky
639,Baisha,CN,26.5222,110.9311,80.38,73,83,1.48,broken clouds
640,Chimbote,PE,-9.0853,-78.5783,63.79,92,20,6.04,few clouds
641,Fort Frances,CA,48.5999,-93.4003,58.15,40,100,12.66,overcast clouds
642,Saint-Georges,GD,12.0564,-61.7485,78.4,78,100,12.95,overcast clouds
643,Pangnirtung,CA,66.1451,-65.7125,12.65,70,29,7.54,scattered clouds
644,Victoria Point,AU,-27.5833,153.3,71.94,79,100,10.0,overcast clouds
645,Lakhimpur,IN,27.95,80.7667,100.29,16,0,9.08,clear sky
646,Aginskoye,RU,51.1,114.53,70.93,19,8,16.8,clear sky
647,Aranos,NA,-24.1333,19.1167,45.73,67,0,8.3,clear sky
648,Omboue,GA,-1.5746,9.2618,75.88,90,99,3.13,overcast clouds
649,Balkanabat,TM,39.5108,54.3671,65.23,74,26,7.43,scattered clouds
650,Yar-Sale,RU,66.8333,70.8333,32.88,100,94,12.86,overcast clouds
651,Bairiki,KI,1.3292,172.9752,84.2,74,20,10.36,few clouds
652,Jian,CN,27.1172,114.9793,74.95,85,97,3.02,overcast clouds
653,Jawhar,SO,2.7809,45.5005,83.95,65,35,12.5,scattered clouds
654,Coos Bay,US,43.3665,-124.2179,46.38,94,100,6.91,overcast clouds
655,Rock Sound,BS,24.9,-76.2,79.02,78,1,16.06,clear sky
656,Bara,NG,10.3744,10.7288,80.42,70,100,11.83,overcast clouds
657,Salinas,US,36.6777,-121.6555,54.41,75,0,11.5,clear sky
658,Ridgecrest,US,35.6225,-117.6709,71.46,29,0,21.99,clear sky
659,Carutapera,BR,-1.195,-46.02,76.01,92,100,2.75,overcast clouds
660,Nemuro,JP,43.3236,145.575,47.46,66,17,14.99,few clouds
661,Bellmead,US,31.594,-97.1089,80.85,80,0,12.66,clear sky
662,Grand Gaube,MU,-20.0064,57.6608,81.37,68,50,5.99,scattered clouds
663,Celestun,MX,20.8667,-90.4,80.11,80,0,11.7,clear sky
664,Bereda,ES,43.2686,-7.5406,50.58,98,94,1.32,overcast clouds
665,Saint-Denis,FR,48.9167,2.3333,54.14,90,100,10.36,mist
666,Pahrump,US,36.2083,-115.9839,77.05,19,55,11.99,broken clouds
667,Bukachacha,RU,52.9833,116.9167,70.16,20,96,11.14,overcast clouds
668,Castlebar,IE,53.85,-9.3,53.58,97,79,5.57,broken clouds
669,Mizdah,LY,31.4451,12.9801,58.62,42,2,4.63,clear sky
670,Flinders,AU,-34.5833,150.8552,69.06,49,3,4.72,clear sky
671,Yaan,NG,7.3833,8.5667,76.23,83,98,9.08,light rain
672,Kawardha,IN,22.0167,81.25,101.79,14,32,3.69,scattered clouds
673,Barabinsk,RU,55.3571,78.357,46.85,40,70,12.75,broken clouds
674,Shanhetun,CN,44.7,127.2,64.09,20,35,12.57,scattered clouds
675,Muzhi,RU,65.3667,64.6667,38.12,99,100,7.67,overcast clouds
676,Kristiansund,NO,63.1115,7.732,39.25,81,75,12.66,broken clouds
677,Live Oak,US,36.9836,-121.9805,54.21,71,0,8.01,clear sky
678,Garissa,KE,-0.4536,39.6401,80.19,65,100,17.6,overcast clouds
679,Labrea,BR,-7.2586,-64.7981,72.81,99,99,3.69,overcast clouds
680,Abha,SA,18.2164,42.5053,71.85,25,0,6.91,clear sky
681,Synya,RU,65.3718,58.0387,45.48,85,98,9.95,overcast clouds
682,Nalut,LY,30.3333,10.85,59.68,36,0,5.17,clear sky
683,Ust-Ilimsk,RU,58.0006,102.6619,39.18,41,95,16.55,overcast clouds
684,Port-Gentil,GA,-0.7193,8.7815,76.96,100,20,3.44,few clouds
685,Azangaro,PE,-14.9167,-70.2167,37.92,81,71,3.47,broken clouds
686,Dawson Creek,CA,55.7666,-120.2362,38.84,75,75,10.36,broken clouds
687,Monrovia,LR,6.3005,-10.7969,73.6,94,100,5.08,moderate rain
688,Tiznit,MA,29.5833,-9.5,73.92,15,53,6.31,broken clouds
689,Lapua,FI,62.9693,23.0088,39.11,63,18,9.8,few clouds
690,Naze,JP,28.3667,129.4833,74.32,83,100,10.02,overcast clouds
691,Biltine,TD,14.5333,20.9167,85.55,8,42,15.66,scattered clouds
692,Umm Kaddadah,SD,13.6017,26.6876,77.92,9,100,13.6,overcast clouds
693,Hirado,JP,33.3597,129.5531,70.39,69,13,16.35,few clouds
694,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,35,0,12.66,clear sky
695,Svetlaya,RU,46.5389,138.3297,47.1,71,100,2.37,overcast clouds
696,Mponela,MW,-13.5319,33.7401,62.69,83,11,3.33,few clouds
697,Koumac,NC,-20.5667,164.2833,80.53,51,14,5.48,few clouds
698,Minab,IR,27.1467,57.0801,91.72,40,7,4.61,haze
699,Quchan,IR,37.106,58.5095,73.49,39,99,8.61,overcast clouds
700,Grants,US,35.1473,-107.8514,62.83,16,0,9.22,clear sky
701,Gubkinskiy,RU,64.434,76.5026,29.07,89,21,10.29,few clouds
702,Lafiagi,NG,8.8667,5.4167,80.82,75,76,3.47,broken clouds
703,Bud,US,39.447,-86.1758,53.67,78,2,6.4,clear sky
