City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Ilebo,CD,70.09,light rain,-4.3167,20.5833,Hôtel BUMAK
336,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
339,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
340,Qui Nhon,VN,82.85,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
342,Kuah,MY,84.06,overcast clouds,6.3265,99.8432,Azio Hotel
343,Sorong,ID,84.04,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
347,The Valley,AI,79.83,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
348,Wanning,CN,81.88,overcast clouds,18.8003,110.3967,Paradise Hotel
350,Ardakan,IR,80.2,overcast clouds,32.31,54.0175,Ardakan Hotel
353,Makakilo City,US,75.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
354,Idenao,CM,78.35,overcast clouds,4.2475,9.0047,Moland Beach Resort
357,Moranbah,AU,73.35,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
359,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
362,Bubaque,GW,77.04,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
364,Emerald,AU,80.42,few clouds,-23.5333,148.1667,The Irish Village
365,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
369,Korla,CN,72.61,light rain,41.7597,86.1469,Gulisitan Hotel
370,Kalmunai,LK,85.86,overcast clouds,7.4167,81.8167,VS Villa
372,Ler,SS,78.13,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
373,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
374,Tuyen Quang,VN,87.33,overcast clouds,21.8233,105.2181,Khách Sạn Tuyên Thoa
376,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
377,Mana,GF,77.0,overcast clouds,5.6592,-53.7767,LE SAMANA
379,Navrongo,GH,80.64,overcast clouds,10.8956,-1.0921,Azakka Hotel
380,Esna,EG,80.44,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
382,Baoying,CN,74.37,clear sky,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
383,Novo Aripuana,BR,72.27,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
388,Kirtipur,NP,76.93,scattered clouds,27.6667,85.2833,LOGOS House Nepal
389,Kununurra,AU,89.58,clear sky,-15.7667,128.7333,Hotel Kununurra
392,Meulaboh,ID,80.04,overcast clouds,4.1363,96.1285,Kost Pria
393,Nauta,PE,71.33,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
395,Caravelas,BR,75.4,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
406,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
410,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
411,Kutum,SD,73.42,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
415,Progreso,MX,83.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
418,Caldas Novas,BR,71.33,broken clouds,-17.7417,-48.625,Best Western Suites Le Jardin Caldas Novas
422,Maracaibo,VE,78.69,overcast clouds,10.6317,-71.6406,Motel Aladdin
425,Kota Kinabalu,MY,89.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
430,Domoni,KM,80.91,broken clouds,-12.2569,44.5319,Al Djadid
434,Hambantota,LK,88.68,broken clouds,6.1241,81.1185,Bungalow 63
442,Humberto De Campos,BR,74.64,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
443,Larap,PH,89.22,clear sky,14.299,122.6504,Montemayor Cove
444,Pouembout,NC,78.15,broken clouds,-21.1333,164.9,Camping de Tipenga
454,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
459,Pitimbu,BR,73.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
460,Banamba,ML,84.33,broken clouds,13.55,-7.45,Kassela de Banamba
461,Mazagao,BR,78.85,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
463,Mashhad,IR,77.14,broken clouds,36.297,59.6062,Khanye Sabz Hotel
465,Tarrafal,CV,70.59,scattered clouds,15.2833,-23.7667,Hotel Ixola
468,Dingle,PH,89.17,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
471,Cap Malheureux,MU,81.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
486,La Macarena,CO,70.32,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
487,Shu,KZ,82.08,broken clouds,43.5983,73.7614,Shyngyzkhan
489,Soyo,AO,76.6,clear sky,-6.1349,12.3689,Hotel Mpampa
495,Warri,NG,75.87,broken clouds,5.5167,5.75,BON Hotel Delta
496,Ahuimanu,US,76.75,light rain,21.4447,-157.8378,Paradise Bay Resort
497,Urucara,BR,73.35,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
500,Buchanan,LR,76.24,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
505,Gamboma,CG,71.87,overcast clouds,-1.8764,15.8644,Residence N'Keni
507,San-Pedro,CI,80.78,overcast clouds,4.7485,-6.6363,Hotel Maria
510,Banjarmasin,ID,87.94,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
511,Kieta,PG,83.52,light rain,-6.2167,155.6333,Uruna Bay Retreat
514,Pokhara,NP,82.85,few clouds,28.2333,83.9833,OYO 170 Hotel View Point
517,Arlit,NE,85.26,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
520,Enid,US,75.36,overcast clouds,36.3956,-97.8784,Ramada by Wyndham Enid
523,Pilar,BR,71.53,light rain,-9.5972,-35.9567,Pousada e churrascaria Manguaba
524,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
527,Santa Rosalia,MX,71.6,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
533,Contai,IN,89.6,clear sky,21.7786,87.7536,PATHFINDER
534,Mogadishu,SO,83.64,scattered clouds,2.0371,45.3438,Hotel Juba
535,Malakal,SS,84.02,overcast clouds,9.5334,31.6605,Nile Palace Hotel
539,Bam,IR,84.7,clear sky,29.106,58.357,Bam Tourist Hotel
540,Sampit,ID,85.32,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
541,Esperance,AU,70.59,broken clouds,-33.8667,121.9,Hospitality Esperance
545,Sinnamary,GF,77.52,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
547,Sao Joao De Pirabas,BR,75.38,moderate rain,-0.7747,-47.1772,POUSADA SOL E MAR
548,Balikpapan,ID,81.59,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
551,Angoche,MZ,73.04,clear sky,-16.2325,39.9086,Guest House HESADA
553,Humaita,BR,72.3,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
554,Buckeye,US,89.82,broken clouds,33.3703,-112.5838,Buckeye Motor Hotel
561,Samarai,PG,84.06,broken clouds,-10.6167,150.6667,Nuli Sapi
562,Kudahuvadhoo,MV,84.63,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
563,Madang,PG,83.41,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
567,Vila Do Maio,CV,70.59,few clouds,15.1333,-23.2167,Hotel Marilu
568,Innisfail,AU,75.69,light rain,-17.5333,146.0333,Moondarra Motel
570,Hirara,JP,82.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
571,Cockburn Town,TC,79.16,clear sky,21.4612,-71.1419,Osprey Beach Hotel
572,Iquitos,PE,72.03,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
575,Sawakin,SD,81.3,clear sky,19.1059,37.3321,فندق الدويم
578,Aswan,EG,80.71,clear sky,24.0934,32.907,Nuba Nile
587,Funadhoo,MV,84.85,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
590,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
591,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
592,Buraydah,SA,72.05,few clouds,26.326,43.975,Mövenpick Qassim
595,Kashi,CN,83.41,clear sky,39.4547,75.9797,帕米尔青年旅舍
596,Kupang,ID,87.35,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
604,Rong Kwang,TH,87.28,overcast clouds,18.339,100.3174,Rong Kwang Hotel
611,Shieli,KZ,83.25,scattered clouds,44.1667,66.75,Gostinitsa Aybek Shieli
612,Port Moresby,PG,84.29,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
616,Zhanakorgan,KZ,88.39,scattered clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
617,Sumbe,AO,74.26,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
618,Mattru,SL,72.39,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
619,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
621,Bougouni,ML,86.92,broken clouds,11.417,-7.479,Non Stop
623,Kavaratti,IN,84.78,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
635,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
637,Bilma,NE,86.29,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
639,Baisha,CN,80.38,broken clouds,26.5222,110.9311,Xiangcun Old Place Hotel
642,Saint-Georges,GD,78.4,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
644,Victoria Point,AU,71.94,overcast clouds,-27.5833,153.3,Bay Retreat Motel
646,Aginskoye,RU,70.93,clear sky,51.1,114.53,Кочевник
648,Omboue,GA,75.88,overcast clouds,-1.5746,9.2618,Hotel Olako
651,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
652,Jian,CN,74.95,overcast clouds,27.1172,114.9793,Luling International Hotel
653,Jawhar,SO,83.95,scattered clouds,2.7809,45.5005,hantiwadaag village part one
655,Rock Sound,BS,79.02,clear sky,24.9,-76.2,Pink Corral Bay Property
658,Ridgecrest,US,71.46,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
659,Carutapera,BR,76.01,overcast clouds,-1.195,-46.02,Lidera
661,Bellmead,US,80.85,clear sky,31.594,-97.1089,Hampton Inn Waco
662,Grand Gaube,MU,81.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
663,Celestun,MX,80.11,clear sky,20.8667,-90.4,Posada Lilia
666,Pahrump,US,77.05,broken clouds,36.2083,-115.9839,Best Western Pahrump Oasis
678,Garissa,KE,80.19,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
679,Labrea,BR,72.81,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
680,Abha,SA,71.85,clear sky,18.2164,42.5053,Abha Hotel
684,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
687,Monrovia,LR,73.6,moderate rain,6.3005,-10.7969,Sunset Inn
690,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
691,Biltine,TD,85.55,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
693,Hirado,JP,70.39,few clouds,33.3597,129.5531,Samson Hotel
694,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
697,Koumac,NC,80.53,few clouds,-20.5667,164.2833,Le Monitel
699,Quchan,IR,73.49,overcast clouds,37.106,58.5095,گلیم دستبافت کیمیایی
702,Lafiagi,NG,80.82,broken clouds,8.8667,5.4167,Bus group international
